Data;DataHora;Grupo;Transportadora;ChaveNFe;NumeroNF;ShipmentOrderID;UF;FaixaPeso;PesoRealKg;ValorCobrado;ValorEBBEstimado;Economia
2026-07-13;2026-07-13 14:09:54.063;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003978061115308829;397806;31954621;PR;20-30kg;25.92;129.28;295.78093023255815;166.50093023255815
2026-07-13;2026-07-13 18:09:40.123;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004287391278158541;428739;31956860;PR;20-30kg;20.96586;111.81;295.78093023255815;183.97093023255815
2026-07-13;2026-07-13 22:40:20.147;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004176861688359965;417686;31958861;ES;30kg+;119.3549175;220.13;499.0984;278.96840000000003
2026-07-14;2026-07-14 14:20:20.193;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004334801137021338;433480;31962651;MG;10-20kg;12.445524;128.41;349.35677966101696;220.94677966101696
2026-07-16;2026-07-16 10:09:19.090;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004103721099857142;410372;31977802;PR;10-20kg;17.577;102.83;315.1783870967742;212.34838709677422
2026-07-16;2026-07-16 16:55:18.167;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004022921991916980;402292;31982158;MG;1-2kg;1.35;111.82;312.865;201.04500000000002
2026-07-20;2026-07-20 09:10:21.167;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004103771632921032;410377;32005253;PR;10-20kg;17.577;95.59;315.1783870967742;219.5883870967742
2026-07-22;2026-07-22 08:06:59.113;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004283311315393421;428331;32024130;RS;30kg+;36.0;115.0;639.6241803278688;524.6241803278688
2026-07-23;2026-07-23 08:30:30.800;Todo Brasil / Dominalog -> Sul/Sudeste;TODOBRASIL;31260701336140000874550010004125841358663072;412584;32033973;SP;10-20kg;18.09;188.4;377.716496350365;189.316496350365
2026-07-23;2026-07-23 17:09:22.433;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004281871979948942;428187;32039021;PR;20-30kg;20.96586;95.68;295.78093023255815;200.10093023255814
2026-07-23;2026-07-23 18:49:54.033;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004335311946983177;433531;32040077;RS;20-30kg;20.96586;117.6;344.2204545454546;226.62045454545458
2026-07-24;2026-07-24 11:05:19.930;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004281831817012195;428183;32044277;MG;20-30kg;20.96586;108.2;374.3104225352113;266.1104225352113
2026-07-25;2026-07-25 19:50:19.173;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004154081888745005;415408;32053323;RS;20-30kg;25.520400000000002;261.7;344.2204545454546;82.52045454545458
2026-07-27;2026-07-27 11:35:14.417;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004173211841383439;417321;32063957;MG;0-1kg;0.23399999999999999;110.85;296.59;185.73999999999998
2026-07-27;2026-07-27 12:00:35.950;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004173361267369052;417336;32064167;RS;10-20kg;16.37;115.07;359.7268;244.65680000000003
2026-07-27;2026-07-27 18:08:27.337;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004420931471562851;442093;32068298;RS;30kg+;36.0;121.82;639.6241803278688;517.8041803278688
2026-07-27;2026-07-27 19:05:31.910;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010004178741371646090;417874;32069141;RS;10-20kg;16.37;111.48;359.7268;248.2468
2026-08-04;2026-08-04 08:50:18.197;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004286641294107511;428664;32123603;ES;10-20kg;17.31;150.77;282.106;131.33599999999998
